name,price,calories,protein,fats,carbs,tag,allergens
Dal Tadka,60,180,9,4,28,veg,none
Paneer Butter Masala,120,320,14,18,22,veg,dairy
Rajma Chawal,80,420,16,6,72,veg,none
Chole Bhature,100,550,14,22,74,veg,gluten
Aloo Paratha,50,350,7,14,52,veg,gluten|dairy
Masala Oats,40,180,6,4,30,veg,gluten
Boiled Eggs,30,140,12,10,1,non-veg,eggs
Chicken Curry,150,380,32,14,12,non-veg,none
Egg Bhurji,60,220,14,14,6,non-veg,eggs|dairy
Grilled Chicken,130,280,38,8,0,non-veg,none
Moong Dal Soup,50,160,10,2,26,veg,none
Idli Sambar,60,220,7,2,44,veg,none
Dosa,70,250,5,8,42,veg,gluten
Upma,45,200,5,6,34,veg,gluten
Poha,40,180,4,5,32,veg,none
Banana,20,90,1,0,23,veg,none
Apple,40,80,0,0,21,veg,none
Peanut Chikki,30,160,5,8,18,veg,peanuts
Mixed Fruit Bowl,60,120,2,1,28,veg,none
Buttermilk,25,60,3,2,7,lactose-free,dairy
Lassi,50,180,6,5,28,veg,dairy
Green Tea,15,5,0,0,1,veg,none
Black Coffee,20,10,0,0,2,veg,none
Sprouts Salad,45,150,10,2,22,veg,none
Corn Chaat,50,200,5,3,38,veg,none
Vegetable Pulao,90,380,8,10,62,veg,none
Chicken Biryani,160,520,28,18,60,non-veg,none
Egg Fried Rice,100,420,14,14,58,non-veg,eggs|gluten
Fish Curry,170,320,30,12,10,non-veg,fish
Tuna Salad,140,210,28,8,4,non-veg,fish
Soya Chunks Curry,70,280,22,6,28,veg,soy
Tofu Stir Fry,90,220,16,10,14,veg,soy
Whole Wheat Roti,20,120,4,2,24,veg,gluten
Brown Rice,35,220,5,2,46,veg,none
Dahi,40,120,6,5,9,veg,dairy
Sattu Drink,35,140,8,2,24,lactose-free,none
Chana Chaat,55,230,11,4,36,veg,none
Palak Paneer,110,290,13,16,18,veg,dairy
Besan Cheela,50,210,10,6,28,veg,gluten
Peanut Butter Toast,55,310,10,14,36,veg,peanuts|gluten
Methi Thepla,45,230,6,8,34,veg,gluten
Kadhi Pakora,75,280,8,12,36,veg,gluten|dairy
Baingan Bharta,65,160,4,8,20,veg,none
Aloo Gobi,60,190,4,6,28,veg,none
Jeera Rice,50,240,5,4,48,veg,none
Sambhar,45,130,6,2,20,veg,none
Rasam,30,60,2,1,10,veg,none
Pongal,55,280,7,8,44,veg,none
Rava Idli,55,210,6,4,38,veg,gluten
Medu Vada,50,220,6,10,28,veg,gluten
Uttapam,65,240,6,6,38,veg,gluten
Pesarattu,55,200,8,4,32,veg,none
Appam,60,220,4,4,42,veg,none
Puttu,50,200,4,2,42,veg,none
Kerala Fish Fry,180,290,26,14,8,non-veg,fish
Prawn Masala,200,310,28,12,14,non-veg,shellfish
Mutton Curry,220,420,34,22,10,non-veg,none
Keema Matar,170,380,30,20,14,non-veg,none
Chicken Tikka,160,260,34,10,4,non-veg,none
Tandoori Chicken,150,280,36,10,2,non-veg,none
Egg Curry,90,260,16,14,10,non-veg,eggs
Omelette,50,180,12,12,2,non-veg,eggs|dairy
Scrambled Eggs,45,170,12,10,2,non-veg,eggs|dairy
Egg Salad,70,200,14,12,4,non-veg,eggs
Chicken Sandwich,120,360,24,12,38,non-veg,gluten|eggs
Chicken Roll,110,380,22,14,44,non-veg,gluten
Mutton Keema Roll,160,440,28,18,46,non-veg,gluten
Fish Fry,160,270,24,12,10,non-veg,fish|gluten
Prawn Fried Rice,180,440,22,14,60,non-veg,shellfish|eggs|gluten
Chicken Noodles,130,420,20,12,58,non-veg,gluten|eggs
Egg Noodles,100,400,14,12,58,non-veg,gluten|eggs
Veggie Noodles,90,360,8,10,58,veg,gluten|eggs
Paneer Tikka,130,300,16,18,12,veg,dairy
Paneer Bhurji,100,280,14,18,10,veg,dairy|eggs
Shahi Paneer,140,360,14,22,20,veg,dairy
Paneer Paratha,90,380,12,16,48,veg,gluten|dairy
Matar Paneer,100,270,12,14,22,veg,dairy
Kadai Paneer,120,310,14,18,20,veg,dairy
Paneer Pulao,130,420,14,14,58,veg,dairy
Chilli Paneer,120,290,14,14,24,veg,dairy|soy
Dal Makhani,90,310,14,14,36,veg,dairy
Dal Fry,65,200,10,6,28,veg,none
Chana Masala,75,280,12,8,40,veg,none
Rajma,70,360,14,4,64,veg,none
Lobia Curry,65,240,12,4,38,veg,none
Moong Dal Tadka,55,180,10,4,26,veg,none
Arhar Dal,55,190,10,4,28,veg,none
Urad Dal,60,200,10,4,32,veg,none
Panchmel Dal,70,220,12,4,32,veg,none
Vegetable Khichdi,70,280,8,4,52,veg,none
Moong Dal Khichdi,65,260,10,4,46,veg,none
Sabudana Khichdi,60,300,4,8,54,veg,peanuts
Poha Chivda,45,200,5,6,34,veg,peanuts
Murmura Chivda,35,180,4,4,34,veg,peanuts
Bhel Puri,50,210,5,4,38,veg,gluten|peanuts
Pani Puri,45,200,4,4,36,veg,gluten
Dahi Puri,60,230,6,6,36,veg,gluten|dairy
Sev Puri,55,220,5,6,36,veg,gluten|peanuts
Ragda Pattice,80,320,10,10,48,veg,none
